City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
276,coyhaique,-45.5752,-72.0662,7.08,73,100,0.32,CL,1724183208
277,orapa,-21.2833,25.3667,16.35,30,0,4.55,BW,1724183209
278,pampa del indio,-26.0647,-59.919,26.95,52,34,1.31,AR,1724183210
279,pimenta bueno,-11.6725,-61.1936,39.04,14,0,2.27,BR,1724183211
280,urangan,-25.3,152.9,18.69,80,41,2.54,AU,1724183212
281,luderitz,-26.6481,15.1594,14.4,71,2,4.6,NA,1724183213
282,arrifes,37.7667,-25.7,25.14,73,20,4.63,PT,1724183215
283,mayahi,13.9553,7.6712,27.01,61,24,2.08,NE,1724183216
284,nova sintra,14.8667,-24.7167,26.03,81,16,6.2,CV,1724183217
285,coquimbo,-29.9533,-71.3436,13.85,62,75,3.6,CL,1724182983
286,gbarnga,6.9956,-9.4722,22.28,99,100,2.4,LR,1724183219
287,hafar al-batin,28.4328,45.9708,37.32,13,0,2.06,SA,1724183221
288,laramie,41.3114,-105.5911,28.21,26,75,5.66,US,1724183222
289,namtsy,62.7161,129.6658,12.54,97,100,1.75,RU,1724183223
290,fort mcmurray,56.7268,-111.381,25.77,41,0,6.69,CA,1724183225
291,savanna-la-mar,18.219,-78.1332,29.35,78,53,1.54,JM,1724183226
292,meadow lakes,61.6247,-149.6011,13.68,66,0,0.45,US,1724183227
293,cabinda,-5.55,12.2,23.08,88,2,1.03,AO,1724183228
294,vila franca do campo,37.7167,-25.4333,26.23,81,32,0.89,PT,1724183229
295,hauterive,46.0901,3.4459,17.52,65,3,0.36,FR,1724183230
296,nouadhibou,20.931,-17.0347,26.99,78,63,5.66,MR,1724183231
297,holualoa,19.6228,-155.9522,25.91,94,40,3.6,US,1724183232
298,redencao,-4.2258,-38.7306,27.55,61,0,4.37,BR,1724183234
299,laguna,38.421,-121.4238,31.24,34,0,3.09,US,1724183235
300,rockland,41.1668,-74.0496,21.72,55,0,0.45,US,1724183236
301,flin flon,54.7682,-101.865,25.91,61,75,4.63,CA,1724183238
302,tolanaro,-25.0319,46.9987,22.04,60,40,9.77,MG,1724183239
303,adrar,20.5022,-10.0711,35.81,30,31,1.64,MR,1724183240
304,chicoana,-25.1009,-65.5331,13.03,47,5,3.25,AR,1724183241
305,kete krachi,7.7939,-0.0498,24.51,87,98,2.64,GH,1724183242
306,aldan,58.6031,125.3894,15.99,82,100,1.66,RU,1724183244
307,ribas do rio pardo,-20.4431,-53.7592,36.31,12,4,4.07,BR,1724183245
308,kargasok,59.0556,80.8572,11.27,89,98,0.84,RU,1724183246
309,severo-yeniseyskiy,60.3725,93.0408,9.49,97,100,1.76,RU,1724183247
310,concepcion,-36.827,-73.0498,10.89,62,40,5.14,CL,1724183185
311,morehead city,34.7229,-76.726,28.89,73,75,3.6,US,1724183249
312,queenstown,-31.8976,26.8753,16.58,17,2,3.95,ZA,1724183250
313,iwanai,42.9744,140.5089,16.41,96,22,2.5,JP,1724183252
314,vlore,40.4667,19.4897,24.68,70,92,2.29,AL,1724183253
315,mil'kovo,55.6078,37.7956,21.3,67,74,3.21,RU,1724183254
316,touros,-5.1989,-35.4608,25.55,77,9,5.99,BR,1724183255
317,sanctuary point,-35.1114,150.629,12.63,82,100,2.21,AU,1724183256
318,udachny,66.4167,112.4,12.45,81,62,2.68,RU,1724183257
